question_id,question__title,Difficulity,title_slug
1,Two Sum,1,two-sum
2,Add Two Numbers,2,add-two-numbers
3,Longest Substring Without Repeating Characters,2,longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,3,median-of-two-sorted-arrays
5,Longest Palindromic Substring,2,longest-palindromic-substring
6,Zigzag Conversion,2,zigzag-conversion
7,Reverse Integer,2,reverse-integer
8,String to Integer (atoi),2,string-to-integer-atoi
9,Palindrome Number,1,palindrome-number
10,Regular Expression Matching,3,regular-expression-matching
11,Container With Most Water,2,container-with-most-water
12,Integer to Roman,2,integer-to-roman
13,Roman to Integer,1,roman-to-integer
14,Longest Common Prefix,1,longest-common-prefix
15,3Sum,2,3sum
16,3Sum Closest,2,3sum-closest
17,Letter Combinations of a Phone Number,2,letter-combinations-of-a-phone-number
18,4Sum,2,4sum
19,Remove Nth Node From End of List,2,remove-nth-node-from-end-of-list
20,Valid Parentheses,1,valid-parentheses
21,Merge Two Sorted Lists,1,merge-two-sorted-lists
22,Generate Parentheses,2,generate-parentheses
23,Merge k Sorted Lists,3,merge-k-sorted-lists
24,Swap Nodes in Pairs,2,swap-nodes-in-pairs
25,Reverse Nodes in k-Group,3,reverse-nodes-in-k-group
26,Remove Duplicates from Sorted Array,1,remove-duplicates-from-sorted-array
27,Remove Element,1,remove-element
28,Find the Index of the First Occurrence in a String,1,find-the-index-of-the-first-occurrence-in-a-string
29,Divide Two Integers,2,divide-two-integers
30,Substring with Concatenation of All Words,3,substring-with-concatenation-of-all-words
31,Next Permutation,2,next-permutation
32,Longest Valid Parentheses,3,longest-valid-parentheses
33,Search in Rotated Sorted Array,2,search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,2,find-first-and-last-position-of-element-in-sorted-array
35,Search Insert Position,1,search-insert-position
36,Valid Sudoku,2,valid-sudoku
37,Sudoku Solver,3,sudoku-solver
38,Count and Say,2,count-and-say
39,Combination Sum,2,combination-sum
40,Combination Sum II,2,combination-sum-ii
41,First Missing Positive,3,first-missing-positive
42,Trapping Rain Water,3,trapping-rain-water
43,Multiply Strings,2,multiply-strings
44,Wildcard Matching,3,wildcard-matching
45,Jump Game II,2,jump-game-ii
46,Permutations,2,permutations
47,Permutations II,2,permutations-ii
48,Rotate Image,2,rotate-image
49,Group Anagrams,2,group-anagrams
50,"Pow(x, n)",2,powx-n
51,N-Queens,3,n-queens
52,N-Queens II,3,n-queens-ii
53,Maximum Subarray,2,maximum-subarray
54,Spiral Matrix,2,spiral-matrix
55,Jump Game,2,jump-game
56,Merge Intervals,2,merge-intervals
57,Insert Interval,2,insert-interval
58,Length of Last Word,1,length-of-last-word
59,Spiral Matrix II,2,spiral-matrix-ii
60,Permutation Sequence,3,permutation-sequence
61,Rotate List,2,rotate-list
62,Unique Paths,2,unique-paths
63,Unique Paths II,2,unique-paths-ii
64,Minimum Path Sum,2,minimum-path-sum
65,Valid Number,3,valid-number
66,Plus One,1,plus-one
67,Add Binary,1,add-binary
68,Text Justification,3,text-justification
69,Sqrt(x),1,sqrtx
70,Climbing Stairs,1,climbing-stairs
71,Simplify Path,2,simplify-path
72,Edit Distance,2,edit-distance
73,Set Matrix Zeroes,2,set-matrix-zeroes
74,Search a 2D Matrix,2,search-a-2d-matrix
75,Sort Colors,2,sort-colors
76,Minimum Window Substring,3,minimum-window-substring
77,Combinations,2,combinations
78,Subsets,2,subsets
79,Word Search,2,word-search
80,Remove Duplicates from Sorted Array II,2,remove-duplicates-from-sorted-array-ii
81,Search in Rotated Sorted Array II,2,search-in-rotated-sorted-array-ii
82,Remove Duplicates from Sorted List II,2,remove-duplicates-from-sorted-list-ii
83,Remove Duplicates from Sorted List,1,remove-duplicates-from-sorted-list
84,Largest Rectangle in Histogram,3,largest-rectangle-in-histogram
85,Maximal Rectangle,3,maximal-rectangle
86,Partition List,2,partition-list
87,Scramble String,3,scramble-string
88,Merge Sorted Array,1,merge-sorted-array
89,Gray Code,2,gray-code
90,Subsets II,2,subsets-ii
91,Decode Ways,2,decode-ways
92,Reverse Linked List II,2,reverse-linked-list-ii
93,Restore IP Addresses,2,restore-ip-addresses
94,Binary Tree Inorder Traversal,1,binary-tree-inorder-traversal
95,Unique Binary Search Trees II,2,unique-binary-search-trees-ii
96,Unique Binary Search Trees,2,unique-binary-search-trees
97,Interleaving String,2,interleaving-string
98,Validate Binary Search Tree,2,validate-binary-search-tree
